Time(s),WindowSize(Packet)
0.0,1.0
0.050800000000000005,2.0
0.20320000000000002,1.0
0.20320000000000002,1.0
0.25400000000000006,2.0
0.25440000000000007,2.5
0.3048000000000001,2.9
0.30520000000000014,3.2448275862068963
0.30560000000000015,3.5530103704789475
0.3560000000000002,3.8344618428159674
0.3564000000000002,4.095254632258779
0.35680000000000023,4.339439692724345
0.3988125000000001,1.0
0.46049132499694845,1.0
0.5112913249969485,2.0
0.5620913249969485,2.5
0.5703563796043399,1.0
0.6128913249969484,2.0
0.6191828098297123,1.0
0.6274478644371038,1.0
0.6699828098297123,2.0
0.6782478644371037,2.5
0.7290478644371037,2.9
0.7318630315869588,1.0
0.7318630315869588,1.0
0.7826630315869587,2.0
0.7830630315869587,2.5
0.8338630315869586,2.9
0.8342630315869586,3.2448275862068963
0.835485701123183,1.0
0.8876065527847362,1.0
0.9918482561078428,1.0
1.0426482561078425,2.0
1.0945550452413295,1.0
1.0945550452413295,1.0
1.1453550452413293,2.0
1.196155045241329,2.5
1.1983686235083033,1.0
1.2469550452413287,2.0
1.249168623508303,2.5
1.2999686235083028,2.9
1.3005381601203474,1.0
1.3005381601203474,1.0
1.3513381601203471,2.0
1.351738160120347,2.5
1.4021381601203469,2.9
1.4025381601203468,3.2448275862068963
1.4032168310516062,1.0
1.4529381601203466,2.0
1.454016831051606,2.5
1.5048168310516057,2.9
1.505225611485065,1.0
1.505225611485065,1.0
1.5563849005823978,1.0
1.5564256114850648,2.0
1.6071849005823975,2.5
1.6579849005823972,2.9
1.6583849005823972,3.2448275862068963
1.6585514118873683,1.0
1.6587849005823971,2.0
1.708784900582397,2.5
1.709184900582397,2.9
1.7595849005823967,3.2448275862068963
1.7599849005823966,3.5530103704789475
1.793187952417861,1.0
1.8103849005823964,2.0
1.8330665001035298,1.0
1.8439879524178608,2.0
1.8838665001035295,2.5
1.9117679055851442,1.0
1.9346665001035293,2.0
1.9350665001035292,2.5
1.962567905585144,2.9
2.013367905585144,3.2448275862068963
2.013767905585144,3.5530103704789475
2.023524427647749,1.0
2.0641679055851436,2.0
2.0645679055851436,2.5
2.0726232212991467,1.0
2.0743244276477486,2.0
2.1234232212991464,2.5
2.174623221299146,2.9
2.175023221299146,3.2448275862068963
2.1786660319117854,1.0
2.229466031911785,2.0
2.280266031911785,2.5
2.280666031911785,2.9
2.3310660319117846,3.2448275862068963
2.3314660319117846,3.5530103704789475
2.3318660319117845,3.8344618428159674
2.3818660319117844,4.095254632258779
2.3822660319117843,4.339439692724345
2.3826660319117843,4.569884190357676
2.3848252825093517,1.0
2.433066031911784,2.0
2.433866031911784,3.0
2.434318415114795,1.0
2.434842341497697,1.0
2.4356252825093514,2.0
2.485118415114795,2.5
2.4856423414976967,2.9
2.5359184151147947,3.2448275862068963
2.5370689839030436,1.0
2.5370689839030436,1.0
2.5867184151147944,2.0
2.5878689839030433,2.5
2.5882689839030433,2.9
2.638668983903043,3.2448275862068963
2.639068983903043,3.5530103704789475
2.6397106815819296,1.0
2.689468983903043,2.0
2.690353146394449,1.0
2.690353146394449,1.0
2.6906689839030427,2.0
2.7411531463944487,2.5
2.7919531463944485,2.9
2.7923444429056534,1.0
2.7923531463944484,2.0
2.792795489550877,1.0
2.843595489550877,2.0
2.8943954895508766,2.5
2.8947954895508765,2.9
2.9451954895508763,3.2448275862068963
2.9455954895508762,3.5530103704789475
2.9715824848731383,1.0
2.996395489550876,2.0
2.996795489550876,2.5
3.018616572049082,1.0
3.042487778252488,1.0
3.0849600623408775,1.0
3.093287778252488,2.0
3.1357600623408772,2.5
3.186560062340877,2.9
3.186960062340877,3.2448275862068963
3.198177945560163,1.0
3.2489779455601626,2.0
